
DAY: 0, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 341, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 342, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 343, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 344, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 345, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 346, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 347, GasOnDestination: 0.9282515073212751%, SatisfiedDestination:0.96%
DAY: 348, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 349, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 350, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 351, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 352, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 353, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
DAY: 354, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 355, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 356, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 357, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 358, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 359, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 360, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 361, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 362, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 363, GasOnDestination: 0.9924633936261849%, SatisfiedDestination:0.96%
DAY: 364, GasOnDestination: 0.9315245478036179%, SatisfiedDestination:0.96%
